product_id,sku,name,price,stock_qty
1001,SKU-1001,Mock Product 1001,53000,202
1002,SKU-1002,Mock Product 1002,438000,370
1003,SKU-1003,Mock Product 1003,217000,131
1004,SKU-1004,Mock Product 1004,,252
1005,SKU-1005,Mock Product 1005,286000,439
1006,SKU-1006,Mock Product 1006,201000,81
1007,SKU-1007,Mock Product 1007,44000,308
1008,SKU-1008,Mock Product 1008,420000,179
1009,SKU-1009,Mock Product 1009,172000,364
1010,SKU-1010,Mock Product 1010,495000,260
1011,SKU-1011,Mock Product 1011,219000,465
1012,SKU-1012,Mock Product 1012,361000,357
1013,SKU-1013,Mock Product 1013,76000,276
1014,SKU-1014,Mock Product 1014,312000,430
1015,SKU-1015,Mock Product 1015,181000,210
1016,SKU-1016,Mock Product 1016,415000,432
1017,SKU-1017,Mock Product 1017,92000,130
1018,SKU-1018,,371000,50
1019,SKU-1019,Mock Product 1019,32000,366
1020,SKU-1020,Mock Product 1020,171000,430
1021,SKU-1021,Mock Product 1021,446000,366
1022,SKU-1022,Mock Product 1022,321000,422
1023,SKU-1023,Mock Product 1023,364000,218
1024,SKU-1024,Mock Product 1024,392000,15
1025,SKU-1025,Mock Product 1025,397000,381
1026,SKU-1026,,478000,54
1027,SKU-1027,,121000,119
1028,SKU-1028,Mock Product 1028,337000,302
1029,SKU-1029,Mock Product 1029,428000,245
1030,SKU-1030,Mock Product 1030,30000,371
1031,SKU-1031,Mock Product 1031,175000,380
1032,SKU-1032,Mock Product 1032,213000,236
1033,SKU-1033,Mock Product 1033,,471
1034,SKU-1034,Mock Product 1034,455000,55
1035,SKU-1035,Mock Product 1035,192000,488
1036,SKU-1036,Mock Product 1036,94000,484
1037,SKU-1037,Mock Product 1037,225000,301
1038,SKU-1038,Mock Product 1038,431000,237
1039,SKU-1039,Mock Product 1039,68000,406
1040,SKU-1040,Mock Product 1040,332000,5
1041,SKU-1041,Mock Product 1041,269000,237
1042,SKU-1042,Mock Product 1042,,398
1043,SKU-1043,Mock Product 1043,299000,232
1044,SKU-1044,Mock Product 1044,323000,54
1045,SKU-1045,Mock Product 1045,90000,257
1046,SKU-1046,Mock Product 1046,319000,494
1047,SKU-1047,Mock Product 1047,49000,361
1048,SKU-1048,Mock Product 1048,443000,27
1049,SKU-1049,Mock Product 1049,418000,73
1050,SKU-1050,Mock Product 1050,462000,111
1051,SKU-1051,Mock Product 1051,178000,82
1052,SKU-1052,Mock Product 1052,,106
1053,SKU-1053,Mock Product 1053,393000,221
1054,SKU-1054,Mock Product 1054,12000,264
1055,SKU-1055,Mock Product 1055,52000,292
1056,SKU-1056,Mock Product 1056,244000,83
1057,SKU-1057,Mock Product 1057,120000,122
1058,SKU-1058,Mock Product 1058,74000,61
1059,SKU-1059,Mock Product 1059,458000,305
1060,SKU-1060,Mock Product 1060,33000,111
1061,SKU-1061,Mock Product 1061,380000,462
,SKU-1062,Mock Product 1062,252000,18
1063,SKU-1063,Mock Product 1063,31000,466
1064,SKU-1064,Mock Product 1064,332000,454
1065,SKU-1065,Mock Product 1065,74000,
1066,SKU-1066,Mock Product 1066,498000,498
1067,SKU-1067,Mock Product 1067,206000,283
1068,SKU-1068,,31000,311
1069,SKU-1069,Mock Product 1069,300000,190
1070,SKU-1070,Mock Product 1070,366000,278
